id;medida;aro;marca;cantidad;valor
1;5.00 r12 cr868 83/82p;r12;west lake;4;40000
2;155/65 ;r13;west lake;4;40000
3;175/70;r13;kelly;2;40000
4;185/65;r14;winrun;7;40000
5;175/65;r14;win run;2;40000
6;185/60;r14;west lake;2;40000
7;165/60;r14;west lake;3;40000
8;175/70;r14;west lake;6;40000
9;185r14c (102/100q);r14;west lake;8;40000
10;185/65;r14;west lake;1;40000
11;175/65;r14;west lake;7;40000
12;195/ r14c (106/104q);r14;west lake;4;40000
13;185/65;r14;west lake;1;40000
14;215/75 r14c;r14;west lake;4;40000
15;175/70;r14;kumho;7;40000
16;185/65;r14;kelly;4;40000
17;185/70;r14;kelly;4;40000
18;175/65;r14;goodyear;4;40000
19;175/65;r14;goodyear;7;40000
20;185 r14c;r14;goodyear;2;40000
21;225/70 r15c ;r15;west lake ;2;40000
22;195/70 r15c (104/102r);r15;west lake;4;40000
23;195/65;r15;west lake;2;40000
24;205/65;r15;west lake;2;40000
25;31x10.50(sl366);r15;west lake;4;40000
26;31x10.50(sl366);r15;west lake;4;40000
27;185/65;r15;west lake;4;40000
28;215/75;r15;west lake;12;40000
29;215/70 r15c;r15;west lake;1;40000
30;lt 235/75 ;r15;west lake;2;40000
31;225/70 r15c;r15;kumho;2;40000
32;185/65;r15;kelly;4;40000
33;185/65;r15;kelly;1;40000
34;215/65;r16;yokohama;4;40000
35;235/70(sl 369);r16;west lake ;4;40000
36;lt 245/75 (sl366);r16;west lake ;4;40000
37;cr 926 7.50 r16 (122/118);r16;west lake ;2;40000
38;215/80 ;r16;west lake ;4;40000
39;205/80(sl 369);r16;west lake;4;40000
40;215/80(sl369);r16;west lake;4;40000
41;lt 245/75 r16;r16;west lake;4;40000
42;235/70;r16;west lake;4;40000
43;205 r16c(110/108s);r16;goodyear;4;40000
44;205/80;r16;dunlop;4;40000
45;205 r16c;r16;bridgestone;2;40000
46;205/80 ;r16;bridgestone;2;40000
47;lt 265/70;r17;west lake;2;40000
